City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Klaksvik,FO,2021-12-02 04:05:20,62.2266,-6.589,34.72,62,98,22.28
139,Longyearbyen,SJ,2021-12-02 04:05:21,78.2186,15.6401,12.04,67,20,6.91
140,Jamestown,US,2021-12-02 04:04:23,42.097,-79.2353,40.59,92,90,3.0
141,Point Pleasant,US,2021-12-02 04:02:06,40.0832,-74.0682,49.01,70,90,0.0
142,Whyalla,AU,2021-12-02 04:05:23,-33.0333,137.5833,72.45,60,3,22.19
143,Chokurdakh,RU,2021-12-02 04:05:24,70.6333,147.9167,-37.5,100,91,5.95
144,Katsuura,JP,2021-12-02 04:05:26,35.1333,140.3,55.51,34,0,1.95
145,Santa Isabel,BR,2021-12-02 04:05:28,-23.3156,-46.2214,71.65,88,92,3.96
146,Naze,JP,2021-12-02 04:05:30,28.3667,129.4833,58.51,64,90,12.39
147,Lebu,CL,2021-12-02 04:01:08,-37.6167,-73.65,52.92,92,100,12.77
148,Saskylakh,RU,2021-12-02 04:05:34,71.9167,114.0833,-35.97,100,98,1.14
149,Sakaiminato,JP,2021-12-02 04:01:22,35.55,133.2333,50.92,53,38,15.68
150,Turtas,RU,2021-12-02 04:05:38,58.9417,69.1325,34.57,80,100,13.29
151,Hamilton,US,2021-12-02 04:03:57,39.1834,-84.5333,53.11,89,75,3.0
152,Yeppoon,AU,2021-12-02 04:05:39,-23.1333,150.7333,85.78,66,20,10.47
153,Roma,US,2021-12-02 04:05:40,43.2128,-75.4557,42.66,80,20,6.91
154,Ondjiva,AO,2021-12-02 04:05:40,-17.0667,15.7333,71.49,64,100,2.8
155,Khatanga,RU,2021-12-02 04:05:42,71.9667,102.5,-41.66,100,92,1.16
156,Waitati,NZ,2021-12-02 04:05:44,-45.75,170.5667,59.32,85,100,10.11
157,Qurayyat,SA,2021-12-02 04:05:44,31.3318,37.3428,52.83,74,38,6.6
158,Deputatskiy,RU,2021-12-02 04:05:45,69.3,139.9,-37.1,100,55,1.97
159,Bitung,ID,2021-12-02 04:05:45,1.4451,125.1824,90.45,70,94,4.14
160,Nelson Bay,AU,2021-12-02 04:05:46,-32.7167,152.15,80.78,70,17,5.01
161,Barabai,ID,2021-12-02 04:05:47,-2.5833,115.3833,92.37,51,72,3.13
162,Tomatlan,MX,2021-12-02 04:05:48,19.9333,-105.25,70.79,87,3,3.18
163,Iqaluit,CA,2021-12-02 04:05:49,63.7506,-68.5145,13.73,79,75,2.3
164,Pisco,PE,2021-12-02 04:05:50,-13.7,-76.2167,64.45,82,0,6.91
165,Namatanai,PG,2021-12-02 04:05:51,-3.6667,152.4333,84.87,68,100,5.77
166,Taksimo,RU,2021-12-02 04:05:52,56.3444,114.8794,6.76,77,19,4.21
167,Truro,GB,2021-12-02 04:01:50,50.2653,-5.0544,45.68,76,40,19.57
168,George,ZA,2021-12-02 04:05:53,-33.963,22.4617,58.55,94,90,8.05
169,Palmerston,AU,2021-12-02 04:05:54,-12.486,130.9833,99.03,60,75,12.66
170,Dundwaraganj,IN,2021-12-02 04:05:56,27.7333,78.95,65.44,39,100,5.03
171,Flinders,AU,2021-12-02 04:05:57,-34.5833,150.8552,86.81,70,31,13.49
172,Novotroitskaya,RU,2021-12-02 04:05:58,45.3267,41.5253,39.15,95,84,3.13
173,Bonavista,CA,2021-12-02 04:05:59,48.6499,-53.1147,36.12,72,17,9.13
174,Kaitangata,NZ,2021-12-02 04:06:00,-46.2817,169.8464,64.92,78,100,10.8
175,Sola,VU,2021-12-02 04:06:04,-13.8833,167.55,82.02,71,6,4.36
176,Nome,US,2021-12-02 04:06:06,64.5011,-165.4064,-9.33,64,1,6.91
177,Ostrovnoy,RU,2021-12-02 04:06:08,68.0531,39.5131,27.3,71,100,32.41
178,San Cristobal,VE,2021-12-02 04:06:10,7.7669,-72.225,66.38,92,61,1.72
